Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
c0c198c3-e5d9-d70d-3bf1-64ba9b1b91f5,1996-07-05,,999-75-4275,S99964659,X71638354X,Ms.,Nicolette397,,Ondricka197,,,S,asian,nonhispanic,F,Townsend  Massachusetts  US,631 Lesch Frontage road Suite 33,Somerville,Massachusetts,Middlesex County,25017,02145,42.404588592878525,-71.1388602980339,98664.14,44293.91,379820
d1bc1241-86bb-2a4d-aa08-c0b2bbd6f791,1981-11-22,,999-13-8102,S99930256,X42964607X,Mr.,Howard613,Wilton999,Powlowski563,,,M,other,nonhispanic,M,West Chatham  Massachusetts  US,773 Gorczany Lodge,Somerset,Massachusetts,Bristol County,25005,02725,41.71523118906478,-71.22985865830516,64492.45,26483.54,83240
2e5f813d-fb50-159c-e9d4-406e13d03e58,2002-06-20,,999-84-5519,S99977952,X37607637X,Ms.,Laquanda221,,Dickinson688,,,,white,nonhispanic,F,Malden  Massachusetts  US,832 Hagenes Bypass Suite 92,Barre,Massachusetts,Worcester County,25027,01005,42.43346925576196,-72.13628912743509,88678.70,14027.24,154552
9d0130c7-8fbe-c01c-9f4c-b42c681cbaf4,2005-06-01,,999-99-5793,S99974636,X9707665X,Ms.,Julieann172,Tiana543,Thiel172,,,,white,nonhispanic,F,Mansfield Center  Massachusetts  US,926 Fisher Spur Suite 74,Carver,Massachusetts,Plymouth County,,00000,41.920213076138694,-70.71785348421858,87528.77,60805.71,173357
985eda64-bf7b-2886-a8e5-511963d043d1,2004-01-17,,999-15-1309,S99976393,X26786622X,Mr.,Leo278,Hans694,Corwin846,,,,black,nonhispanic,M,Boston  Massachusetts  US,974 Grimes Loaf,Sturbridge,Massachusetts,Worcester County,25027,01507,42.14129980549361,-71.98902804604946,54378.54,209.35,527562
12a835bf-f0be-0ec7-b3c5-d81f6a9a72be,2003-09-05,,999-44-9563,S99955599,X16220216X,Ms.,Olinda137,,Rau926,,,,white,nonhispanic,F,Boston  Massachusetts  US,873 Kutch Trail Apt 37,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.966115655523055,-70.99557620841867,76760.61,10345.62,138668
40076eed-44bc-77fc-0abc-f5d75bcb4c6c,1950-12-29,1998-02-24,999-11-4849,S99992882,X65423745X,Ms.,Ka422,Yael855,Ernser583,,,S,white,nonhispanic,F,Hingham  Massachusetts  US,565 Morar Stravenue,Boston,Massachusetts,Suffolk County,25025,02128,42.28499766132139,-71.1105565070457,681843.59,297596.29,39872
a5037a38-96a2-6f9d-a7bf-49683e98ac0c,1952-04-07,,999-33-5397,S99993620,X85968522X,Mrs.,Geralyn932,Kylee806,Lakin515,,Aufderhar910,D,white,nonhispanic,F,West Bridgewater  Massachusetts  US,534 Kertzmann Corner,Holbrook,Massachusetts,Norfolk County,25021,02368,42.12463234458186,-70.99833605062155,897304.43,141368.48,96208
f10e0e7f-2b4f-e6ad-5e56-90dadd846315,2022-06-29,,999-21-8537,,,,Lizabeth515,Marget728,Hintz995,,,,other,nonhispanic,F,Longmeadow  Massachusetts  US,854 Glover Bridge,Brockton,Massachusetts,Plymouth County,25023,02302,42.074152744037185,-71.01996483736194,8885.14,0.00,38036
0d9b6bdc-85b8-c1e7-29b0-eef5f548160d,2005-09-15,,999-42-1025,S99957419,,Mr.,Mauro926,Wilfredo622,Flatley871,,,,white,nonhispanic,M,Milford  Massachusetts  US,858 Ebert Station Unit 41,Quincy,Massachusetts,Norfolk County,25021,02186,42.28463401576456,-71.08555952669742,31602.56,20119.63,95704
